epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.91969,0.325833,1.668596,0.434125,0.001,17.6358
2,1.583939,0.458333,1.368936,0.565875,0.001,1.9814
3,1.350106,0.5525,1.357445,0.453564,0.001,2.0679
4,1.197791,0.621667,1.338359,0.542117,0.001,1.6931
5,1.041894,0.68,1.172657,0.568035,0.001,1.7339
6,0.928651,0.715,1.232994,0.604752,0.001,1.7275
7,0.839596,0.75,1.087719,0.643629,0.001,1.6387
8,0.733193,0.781667,1.598696,0.473002,0.001,1.715
9,0.659453,0.81,1.642983,0.466523,0.001,1.8824
10,0.604324,0.830833,1.445739,0.574514,0.0005,1.9049
11,0.514216,0.8575,1.064749,0.656587,0.0005,1.888
12,0.46333,0.878333,1.104743,0.660907,0.0005,1.8156
