epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.961879,0.298333,1.843224,0.319654,0.0005,32.3994
2,1.687598,0.421667,1.836325,0.354212,0.0005,19.6742
3,1.622571,0.4525,1.597082,0.425486,0.0005,19.0404
4,1.481881,0.5,1.549578,0.473002,0.0005,19.2549
5,1.455592,0.526667,1.639599,0.408207,0.0005,18.5987
6,1.4035,0.5375,1.558724,0.49676,0.0005,19.0373
7,1.384235,0.540833,1.560231,0.468683,0.00025,17.7093
8,1.286472,0.585833,1.546125,0.479482,0.00025,18.3198
9,1.258917,0.5875,1.467832,0.537797,0.00025,17.8362
10,1.224763,0.615,1.549931,0.50108,0.00025,17.7238
11,1.208676,0.615833,1.509195,0.544276,0.00025,18.0267
12,1.185613,0.629167,1.404321,0.539957,0.00025,18.0473
13,1.194542,0.611667,1.418372,0.542117,0.00025,18.0108
14,1.169315,0.624167,1.394249,0.563715,0.00025,17.8934
15,1.165026,0.635833,1.426686,0.587473,0.00025,19.1345
